name,category,city
Уголок дедушки Дурова,theatre,Москва
Креветка,cafe,Москва
Южный речной вокзал,ferry_terminal,Москва
Музей Рерихов,museum,Москва
Мастерская П. Н. Фоменко (новая сцена),theatre,Москва
Vasilchuki Chaihona №1,restaurant,Москва
Спорт-бар Торнадо,bar,Москва
Тануки,restaurant,Москва
Кружка,pub,Москва
Чайхана Ош,cafe,Москва
Полная кружка,pub,Москва
Salden's Taphouse,bar,Москва
ПивКо,restaurant,Москва
Жилой дом на Котельнической набережной,attraction,Москва
Хоумбар,restaurant,Москва
Галерея искусства стран Европы и Америки XIX—XX веков,museum,Москва
Государственный музей А.С.Пушкина,museum,Москва
Государственный центральный театральный музей им. А. А. Бахрушина,museum,Москва
,nightclub,Москва
Шоколадница,cafe,Москва
Государственный Дарвиновский музей,museum,Москва
Киномакс XL,cinema,Москва
,bar,Москва
Рыбацкое подворье,restaurant,Москва
Театр на Трубной,theatre,Москва
Com,cafe,Москва
Rostic's,fast_food,Москва
Белград,mall,Москва
Царь-пушка,attraction,Москва
Царь-колокол,attraction,Москва
Аврора,restaurant,Москва
Му-Му,fast_food,Москва
ЭПИ Алтуфьево,arts_centre,Москва
Пронто,restaurant,Москва
Вкусно — и точка,fast_food,Москва
Грин Пелас,restaurant,Москва
ТрактирЪ Лефортово,restaurant,Москва
Ёрш,fast_food,Москва
А. С. Пушкину,attraction,Москва
Театр на Юго-Западе,theatre,Москва
Мальчиш-Кибальчиш,artwork,Москва
Чешска пивница,pub,Москва
Старый дуб,cafe,Москва
Nescafe-IMAX,cinema,Москва
Формула Кино (на Мичуринском),cinema,Москва
Manana,restaurant,Москва
Кронверк-Синема Облака,cinema,Москва
Джорджия,restaurant,Москва
Артишок,arts_centre,Москва
Подъезд,cafe,Москва
Теремок,fast_food,Москва
Каро Фильм,cinema,Москва
IL Патио,restaurant,Москва
Шикари,restaurant,Москва
Вареничная №1,restaurant,Москва
,restaurant,Москва
Шарманка,cafe,Москва
,cafe,Москва
Гараж,bar,Москва
Роял,restaurant,Москва
Пицца Фабрика,fast_food,Москва
Столовая ЦИАМ,fast_food,Москва
Сахара,cafe,Москва
Pushka,cinema,Москва
Грабли,cafe,Москва
True Burgers,cafe,Москва
Крошка Картошка,fast_food,Москва
Планета,restaurant,Москва
Шпилька,stripclub,Москва
Зерно,cafe,Москва
Эгриси,cafe,Москва
Шахин-Шах,restaurant,Москва
Синема Парк на Калужской,cinema,Москва
Наполеон,restaurant,Москва
Родник,restaurant,Москва
TGI Fridays,restaurant,Москва
Noosh,restaurant,Москва
Изумрудный город,mall,Москва
Нияма,restaurant,Москва
Бакинский бульвар,restaurant,Москва
,attraction,Москва
Москино Салют,cinema,Москва
Пикник на обочине,restaurant,Москва
На изумрудной,cafe,Москва
Подвальчик,pub,Москва
Каро Фильм на Вернадского,cinema,Москва
New York Pizza,fast_food,Москва
Кофе Хауз,cafe,Москва
У Адама,restaurant,Москва
Синема Стар,cinema,Москва
Fridays,restaurant,Москва
Дом оранжевой коровы,restaurant,Москва
Этаж,restaurant,Москва
Pizzamento,cafe,Москва
Империал,pub,Москва
Бирлайн,pub,Москва
Погребок,pub,Москва
Театр им. М. Н. Ермоловой,theatre,Москва
Электротеатр Станиславский,theatre,Москва
Москвич,cafe,Москва
Феникс,mall,Москва
La Piazza,restaurant,Москва
Крошка-картошка,fast_food,Москва
Синема Парк,cinema,Москва
Сбарро,cafe,Москва
Кальян,cafe,Москва
Гудман,restaurant,Москва
Пять звезд на Павелецкой,cinema,Москва
Эссе,cafe,Москва
Папа Джонс,fast_food,Москва
В. В. Маяковскому,attraction,Москва
Блюз,restaurant,Москва
Му-Му,cafe,Москва
Старая карта,pub,Москва
,fast_food,Москва
Лагманная,restaurant,Москва
Тройка,pub,Москва
Чёрная каракатица,pub,Москва
,food_court,Москва
Нулевой километр,attraction,Москва
ЗаРайский Дворик,cafe,Москва
Вечера на хуторе,restaurant,Москва
,pub,Москва
Легенда,cafe,Москва
Колбасофф,restaurant,Москва
Келлер,cafe,Москва
Хан-Кебаб,restaurant,Москва
Экспериментъ,theatre,Москва
Киномакс Солярис,cinema,Москва
Городская усадьба Разумовского,attraction,Москва
Заречье,restaurant,Москва
Индиго,pub,Москва
Бакинские вечера,restaurant,Москва
Кафетериус,cafe,Москва
Кафе 100%,restaurant,Москва
,artwork,Москва
Муган,restaurant,Москва
Столовая сектора В,fast_food,Москва
Столовая сектора Б,fast_food,Москва
Строгинская Гавань,restaurant,Москва
Мимино,restaurant,Москва
Beer roll,restaurant,Москва
Московский театр кукол. Камерная сцена,theatre,Москва
Gonzo Lounge,bar,Москва
Синема Парк Deluxe,cinema,Москва
Корчма,restaurant,Москва
Рабочий и колхозница,attraction,Москва
Формула Кино Европа,cinema,Москва
El Idilio,restaurant,Москва
Султан Palace,restaurant,Москва
Тянься Чуэнь,restaurant,Москва
Финист,cafe,Москва
Бургер Кинг,fast_food,Москва
Чисто ростовский бар,bar,Москва
Восточная комната,restaurant,Москва
Театр Эстрады,theatre,Москва
Якитория,restaurant,Москва
Восточный сад,restaurant,Москва
Тбилиси,restaurant,Москва
Яръ,restaurant,Москва
Венеция,cafe,Москва
Очаг,cafe,Москва
Турандот,restaurant,Москва
Пушкинъ,cafe,Москва
Шинок,restaurant,Москва
Папа Джонс,cafe,Москва
Люкс,restaurant,Москва
Московский детский театр эстрады,theatre,Москва
Модерн,theatre,Москва
"Кафе ""Город""",restaurant,Москва
Сирена,restaurant,Москва
Жар-птица,theatre,Москва
Золотая вобла,pub,Москва
Саамо,restaurant,Москва
2007,bar,Москва
Прокофьевский зал,theatre,Москва
Усадьба принца,restaurant,Москва
ЛаBeerРинт,cafe,Москва
Линдерхоф,pub,Москва
Форсаж,cafe,Москва
"Корчма ""Тарас Бульба""",restaurant,Москва
Натюрлих,restaurant,Москва
Русское Подворье,restaurant,Москва
Московский музей современного искусства (отдельное здание),gallery,Москва
Дружбе народов России и Грузии,artwork,Москва
Беляево,gallery,Москва
Дворик,cafe,Москва
Дранкен Дак Паб,pub,Москва
Urban,cafe,Москва
Mr. Tutti ice cream,fast_food,Москва
Шнельки,fast_food,Москва
Воккер,fast_food,Москва
Блинница,fast_food,Москва
Baggeteria,fast_food,Москва
Панчо Пицца экспресс,fast_food,Москва
Поль Бейкери,cafe,Москва
Kebab House,fast_food,Москва
Sushilka,fast_food,Москва
Восточный базар,fast_food,Москва
Ёжики-Тефтельки,fast_food,Москва
Сити Бургер,fast_food,Москва
Пражечка,restaurant,Москва
Максима пицца,restaurant,Москва
СССР,cafe,Москва
Каро 10 Щука,cinema,Москва
Трын-Трава,restaurant,Москва
